"YSNB","SNB","Snake Bay","-11.41371145:130.64359197","YS","Australia"
"URSS","AER","Sochi","43.43948900:039.92588600","UR","Russia"
"OYSQ","SCT","Socotra Intl","12.61739400:053.89886900","OY","Yemen"
"EFSO","SOT","Sodankyla","67.40154200:026.61471400","EF","Finland"
"ESNY","SOO","Soderhamn","61.26870000:017.08092500","ES","Sweden"
"EHSB","SSB","Soesterberg","52.12748300:005.25394700","EH","Netherlands"
"LBSF","SOF","Sofia","42.69629200:023.38893900","LB","Bulgaria"
"LFJS","XSS","Soissons Courmelles","49.34431635:003.27840510","LF","France"
"RKND","SHO","Sokcho","38.13713100:128.59308100","RK","South Korea"
"PASX","SXQ","Soldotna","60.47496100:-151.05209400","PA","Alaska"
"LFKS","SOZ","Solenzara","41.93637500:009.40526000","LF","France"
"WRSQ","SOC","Solo Adi Sumarmo Wiryokusumo","-07.51863300:110.74528900","WR","Indonesia"
"EKSB","SGD","Sonderborg","54.96895300:009.78488900","EK","Denmark"
"VTSH","SGZ","Songkhla","07.19127800:100.60324200","VT","Thailand"
"VTSS","HDY","Songkhla Hat Yai Intl","06.93083300:100.37930000","VT","Thailand"
"WAAS","SQR","Soroako","-02.52859200:121.35386900","WA","Indonesia"
"SDCO","SOD","Sorocaba","-23.47176700:-047.49234200","SD","Brazil"
"WASS","SOQ","Sorong Jefman","-00.93209400:131.11642200","WA","Indonesia"
"HUSO","SRT","Soroti","01.72232200:033.61644200","HU","Uganda"
"ENSO","SRP","Sorstokken","59.79632500:005.33468600","EN","Norway"
"DAAE","BJA","Soummam","36.71000000:005.05666700","DA","Algeria"
"SNSW","SFK","Soure","-00.70286400:-048.52386100","SN","Brazil"
"MYBS","BIM","South Bimini","25.69988600:-079.27287200","MY","Bahamas"
"MBSC","XSC","South Caicos","21.51687500:-071.53725300","MB","Turks and Caicos Islands"
"EGHI","SOU","Southampton","50.94295000:-001.36087500","EG","United Kingdom"
"FLSO","KIW","Southdowns","-12.89801700:028.14092200","FL","Zambia"
"EGMC","SEN","Southend","51.56725100:000.68626800","EG","United Kingdom"
"YSPT","SHQ","Southport","-27.92544342:153.36948196","YS","Australia"
"CYPG","YPG","Southport","49.90666700:-098.28388900","CY","Canada"
"KABY","ABY","Southwest Georgia Rgnl","31.52958600:-084.19971100","KA","United States of America"
"FNSO","SZA","Soyo","-06.14646700:012.36400600","FN","Angola"
"ETAD","SPM","Spangdahlem Ab","49.96679200:006.68356100","ET","Germany"
"PASV","SVW","Sparrevohn Lrrs","61.10297300:-155.57382300","PA","Alaska"
"LGSP","SPJ","Sparti","36.97190000:022.52178100","LG","Greece"
"LDSP","SPU","Split","43.53205300:016.28558300","LD","Croatia"
"MYAP","AXP","Spring Point","22.44593300:-073.97681100","MY","Bahamas"
"FASB","SBU","Springbok","-29.69132374:017.93169576","FA","South Africa"
"KASG","SPZ","Springdale Muni","36.18362500:-094.11813900","KA","United States of America"
"CYSE","YSE","Squamish","49.77881225:-123.15886344","CY","Canada"
"VOPN","PUT","Sri Sathya Sai","14.14975800:077.78082800","VO","India"
"VISR","SXR","Srinagar","33.99899200:074.76071400","VI","India"
"CYAY","YAY","St Anthony","51.39093100:-056.09177500","CY","Canada"
"EGDX","DGX","St Athan","51.40280706:-003.44600249","EG","United Kingdom"
"CYIF","YIF","St Augustin","51.20542700:-058.65709000","CY","Canada"
"TFFJ","SBH","St Barthelemy Is.","17.90436300:-062.84663500","TF","Guadeloupe"
"LFKC","CLY","St Catherine","42.54117000:008.79282700","LF","France"
"HESC","SKV","St Catherine Intl","28.69460000:034.06103600","HE","Egypt"
"TISX","STX","St Croix - Henry E Rohlsen","17.70006100:-064.81623300","TI","U.S. Virgin Islands"
"FMEE","RUN","St Denis Gillot","-20.88595600:055.50461900","FM","Comoros, Madagascar, Mayotte, Réunion"
"LFLS","GNB","St Geoirs","45.36278200:005.30983100","LF","France"
"PAPB","STG","St George","56.58059400:-169.67465600","PA","Alaska"
"YSGE","SGO","St George","-28.04689328:148.58886182","YS","Australia"
"SOOG","OXP","St Georges De L Oyapock","03.89243600:-051.80575300","SO","French Guiana"
"YSTH","HLS","St Helens","-41.33760800:148.27911442","YS","Australia"
"CYHU","YHU","St Hubert","45.50971781:-073.42860652","CY","Canada"
"CYJN","YJN","St Jean","45.29250000:-073.28943100","CY","Canada"
"CYYT","YYT","St Johns Intl","47.62554440:-052.75346218","CY","Canada"
"CYSL","YSL","St Leonard","47.16232800:-067.83954400","CY","Canada"
"KALN","ALN","St Louis Rgnl","38.89524400:-090.05496900","KA","United States of America"
"TFFG","SFG","St Maarten - Grand Case","18.10152100:-063.05256400","TF","Guadeloupe"
"TNCM","SXM","St Maarten - Princess Juliana Intl","18.03936600:-063.11961000","TN","Netherlands Antilles, Aruba"
"EGHE","ISC","St Marys","49.91044996:-006.28946521","EG","United Kingdom"
"PASM","KSM","St Marys","62.07085800:-163.29988300","PA","Alaska"
"EGDG","NQY","St Mawgan","50.44703900:-005.01203100","EG","United Kingdom"
"PAMK","SMK","St Michael","63.48545600:-162.11702500","PA","Alaska"
"PASN","SNP","St Paul Island","57.17608300:-170.21769400","PA","Alaska"
"LFVP","FSP","St Pierre","46.75843600:-056.18559400","LF","France"
"FMEP","ZSE","St Pierre Pierrefonds","-21.31475600:055.41658100","FM","Comoros, Madagascar, Mayotte, Réunion"
"CYST","YST","St Theresa Point","53.84198174:-094.85718248","CY","Canada"
"TIST","STT","St Thomas - Cyril E King","18.33687200:-064.98342800","TI","U.S. Virgin Islands"
"CYQS","YQS","St Thomas Muni","42.77201700:-081.11923300","CY","Canada"
"SOOM","LDX","St-laurent-du-maroni","-05.48577657:-054.03628101","SO","French Guiana"
"LSZR","ACH","St.gallen-altenrhein","47.48612800:009.55028300","LS","Switzerland"
"ENHA","HMR","Stafsberg","60.82335720:011.06430655","EN","Norway"
"MYES","TYM","Staniel Cay","24.17308300:-076.44030600","MY","Bahamas"
"SFAL","PSY","Stanley","-51.68596900:-057.78035800","SF","Falkland Islands"
"LBSZ","SZR","Stara Zagora","42.38775000:025.65255800","LB","Bulgaria"
"EKVJ","STA","Stauning","55.99040000:008.34230300","EK","Denmark"
"ENZV","SVG","Stavanger Lufthavn Sola","58.89370000:005.63732800","EN","Norway"
"YSWL","SWC","Stawell","-37.06562865:142.72690240","YS","Australia"
"LRSV","SCV","Stefan Cel Mare","47.69521700:026.35056100","LR","Romania"
"MYLS","SML","Stella Maris","23.58450000:-075.27544200","MY","Bahamas"
"CYJT","YJT","Stephenville","48.54027800:-058.56944200","CY","Canada"
"CZST","ZST","Stewart","55.94055600:-129.98166900","CZ","Canada"
"ESSA","ARN","Stockholm Arlanda","59.63725600:017.91322500","ES","Sweden"
"ESKN","NYO","Stockholm Skavsta","58.78666200:016.88036700","ES","Sweden"
"ENST","SSJ","Stokka","65.95242500:012.46396400","EN","Norway"
"ENSK","SKN","Stokmarknes Skagen","68.58092883:015.01541703","EN","Norway"
"CYSF","YSF","Stony Rapids","59.25236497:-105.82838467","CY","Canada"
"EGPO","SYY","Stornoway","58.22544400:-006.33293900","EG","United Kingdom"
"ESUD","SQO","Storuman","64.96989700:017.68508100","ES","Sweden"
"EPWR","WRO","Strachowice","51.10880240:016.86582551","EP","Poland"
"YSRN","SRN","Strahan","-42.16094910:145.28841826","YS","Australia"
"UWGG","GOJ","Strigino","56.24200000:043.78666400","UW","Russia"
"EGER","SOY","Stronsay","59.15585436:-002.64281235","EG","United Kingdom"
"VDST","TNX","Stung Treng","13.52604200:106.01242800","VD","Cambodia"
"EDDS","STR","Stuttgart","48.68573300:009.20012800","ED","Germany"
"BIST","SYK","Stykkisholmur","65.05479048:-022.80447015","BI","Iceland"
"FBSN","SXN","Sua Pan","-20.55170800:026.10811400","FB","Botswana"
"WPDB","UAI","Suai","-09.29865600:125.28570800","WP","Timor-Leste"
"SVSP","SNF","Sub Teniente Nestor Arias","10.27329200:-068.75925000","SV","Venezuela"
"RPLB","SFS","Subic Bay Intl","14.78968600:120.25959200","RP","Philippines"
"SESC","SUQ","Sucua","-02.46612585:-078.17216858","SE","Ecuador"
"CYSB","YSB","Sudbury","46.61750000:-080.80472500","CY","Canada"
"OPSU","SUL","Sui","28.63730800:069.17547200","OP","Pakistan"
"VTPO","THS","Sukhothai","17.24747800:099.81836400","VT","Thailand"
"OPSK","SKZ","Sukkur","27.73154400:068.78281900","OP","Pakistan"
"LTFC","ISE","Suleyman Demirel","37.84664700:030.35538900","LT","Turkey"
"WIPA","DJB","Sultan Thaha","-01.63229700:103.63746900","WI","Indonesia"
"WRRS","SWQ","Sumbawa Besar","-08.48398100:117.40793900","WR","Indonesia"
"EGPB","LSI","Sumburgh","59.88186400:-001.30048900","EG","United Kingdom"
"WRST","SUP","Sumenep/trunojoya (local Gov)","-07.02197336:113.88757272","WR","Indonesia"
"CYSU","YSU","Summerside","46.43138900:-063.84277800","CY","Canada"
"PAST","UMM","Summit","63.32853444:-149.13701122","PA","Alaska"
"ESNN","SDL","Sundsvall Harnosand/midlanda","62.53656400:017.43733600","ES","Sweden"
"RCSS","TSA","Sungshan","25.07005000:121.53962200","RC","Republic of China (Taiwan)"
"DGSN","NYI","Sunyani","07.35921900:-002.33397200","DG","Ghana"
"WRSJ","SUB","Surabaya Juanda","-07.37765000:112.77344700","WR","Indonesia"
"VASU","STV","Surat","21.11043900:072.73820800","VA","India"
"VTSB","URT","Surat Thani","09.12283100:099.12603300","VT","Thailand"
"USRR","SGC","Surgut","61.34363600:073.37580600","US","Russia"
"RPMS","SUG","Surigao","09.76520800:125.47821700","RP","Philippines"
"VTUJ","PXR","Surin","14.86135800:103.49731900","VT","Thailand"
"WIOS","SQG","Susilo","00.06278600:111.46765800","WI","Indonesia"
"PABU","BTI","Susitna Lodge","63.09379175:-147.47334976","PA","Alaska"
"ENSB","LYR","Svalbard Longyear","78.24878900:015.41805000","EN","Norway"
"ENSS","VAW","Svartnes","70.36000000:031.04077500","EN","Norway"
"ESND","EVG","Sveg","62.04733600:014.40480000","ES","Sweden"
"ENSH","SVJ","Svolvaer Helle","68.23956893:014.66663255","EN","Norway"
"YSWH","SWH","Swan Hill","-35.37490000:143.52487200","YS","Australia"
"CZJN","ZJN","Swan River","52.11581400:-101.24034700","CZ","Canada"
"EGFH","SWS","Swansea","51.59972489:-004.07430426","EG","United Kingdom"
"CYYN","YYN","Swift Current","50.29666579:-107.69583265","CY","Canada"
"VNSB","SYH","Syangboche","27.81319398:086.70813952","VN","Nepal"
"CYQY","YQY","Sydney","46.15373926:-060.06119010","CY","Canada"
"YSSY","SYD","Sydney Intl","-33.92935800:151.17160300","YS","Australia"
"UUYY","SCW","Syktyvkar","61.63656700:050.83631900","UU","Russia"
"LGSO","JSY","Syros","37.42791100:024.95008600","LG","Greece"
"EPBY","BZG","Szwederowo","53.09524724:017.95918777","EP","Poland"
"EPSY","SZY","Szymany","53.47120800:020.93172500","EP","Poland"
"HETB","TCP","Taba Intl","29.57542800:034.76316100","HE","Egypt"
"DTKA","TBJ","Tabarka 7 Novembre","36.98085300:008.85906100","DT","Tunisia"
"OIMT","TCX","Tabas","33.67988100:056.88468100","OI","Iran"
"SBTT","TBT","Tabatinga","-04.25156700:-069.94462500","SB","Brazil"
"NGTE","TBF","Tabiteuea North","-01.22035000:174.77350000","NG","Kiribati, Tuvalu"
"OITT","TBZ","Tabriz Intl","38.14385600:046.21957200","OI","Iran"
"OETB","TUU","Tabuk","28.36923100:036.61989200","OE","Saudi Arabia"
"VYTL","THL","Tachileik","20.47619400:099.92911400","VY","Myanmar"
"RPVA","TAC","Tacloban Daniel Z Romualdez","11.23726900:125.02840000","RP","Philippines"
"DAOL","TAF","Tafaraoui","35.53937800:-000.54695800","DA","Algeria"
"RPVT","TAG","Tagbilaran","09.67201700:123.85233900","RP","Philippines"
"NTAA","PPT","Tahiti Faaa","-17.56285300:-149.62039400","NT","French Polynesia"
"DRRT","THZ","Tahoua","14.87076700:005.25678900","DR","Niger"
"WAMH","NAH","Tahuna Naha","03.68754400:125.52557200","WA","Indonesia"
"OETF","TIF","Taif","21.47733300:040.52063900","OE","Saudi Arabia"
"RCNN","TNN","Tainan","22.96427800:120.20716700","RC","Republic of China (Taiwan)"
"RCTP","TPE","Taipei Chiang Kai Shek Intl","25.07308100:121.21557200","RC","Republic of China (Taiwan)"
"ZYHB","HRB","Taiping","45.61227200:126.23730600","ZY","People\'s Republic of China"
"SETH","TSC","Taisha","-02.37986458:-077.50427901","SE","Ecuador"
"OYTZ","TAI","Taiz Intl","13.67225300:044.13717800","OY","Yemen"
"RJBT","TJH","Tajima","35.50745300:134.78665000","RJ","Japan"
"MMPA","PAZ","Tajin","20.60253800:-097.46946700","MM","Mexico"
"VTPT","TKT","Tak","16.89602200:099.24631100","VT","Thailand"
"VTPM","MAQ","Tak Mae Sot","16.69975000:098.53796900","VT","Thailand"
"NZTK","KTF","Takaka","-40.81956552:172.77385823","NZ","New Zealand, Antarctica"
"RJOT","TAK","Takamatsu","34.21073900:134.00280800","RJ","Japan"
"NTGT","TKP","Takapoto","-14.71025600:-145.25003300","NT","French Polynesia"
"NTKR","TKX","Takaroa","-14.45609700:-145.02941700","NT","French Polynesia"
"DGTK","TKD","Takoradi","04.88918300:-001.77867200","DG","Ghana"
"ULAA","ARH","Talagi","64.60156400:040.69073100","UL","Russia"
"LEBZ","BJZ","Talavera La Real","38.89875300:-006.83461700","LE","Spain"
"PATK","TKA","Talkeetna","62.32477500:-150.08900800","PA","Alaska"
"KASN","ASN","Talladega Muni","33.56319737:-086.05655624","KA","United States of America"
"LFNA","GAT","Tallard","44.45001600:006.03410300","LF","France"
"EETN","TLL","Tallinn","59.41331900:024.80581400","EE","Estonia"
"CYYH","YYH","Taloyoak","69.55095300:-093.58352400","CY","Canada"
"DGLE","TML","Tamale","09.54931100:-000.87101700","DG","Ghana"
"DAAT","TMR","Tamanrasset","22.79638600:005.44439400","DA","Algeria"
"GOTT","TUD","Tambacounda","13.73093900:-013.66013100","GO","Senegal"
"RPMR","GES","Tambler","06.07260800:125.09443100","RP","Philippines"
"SKTM","TME","Tame","06.44642800:-071.76810600","SK","Colombia"
"EFTP","TMP","Tampere Pirkkala","61.40892200:023.58158600","EF","Finland"
"MMTN","TSL","Tamuin","22.04477800:-098.80706400","MM","Mexico"
"YSTW","TMW","Tamworth","-31.07106700:150.83697200","YS","Australia"
"WRLH","TNB","Tanah Grogot (local Gov)","-01.86904249:116.21529478","WR","Indonesia"
"WAKT","TMH","Tanah Merah (dgac)","-06.09848566:140.29863567","WA","Indonesia"
"SBCF","CNF","Tancredo Neves","-19.62355600:-043.97828300","SB","Brazil"
"RPMW","TDG","Tandag","09.06622500:126.16852200","RP","Philippines"
"SAZT","TDL","Tandil","-37.24566700:-059.22991700","SA","Argentina"
"HTTG","TGT","Tanga","-05.09507200:039.06614200","HT","Tanzania"
"WIKD","TJQ","Tanjun Pandan/bulu Tumbang","-02.73738900:107.75436100","WI","Indonesia"
"WIBT","TJB","Tanjung Balai Karimun/seibati (dgac)","01.05313763:103.38881455","WI","Indonesia"
"WIIT","TKG","Tanjung Karang Branti Radin Inten Ii","-05.23597200:105.17352800","WI","Indonesia"
"WRLT","TSX","Tanjung Santan","-00.09395800:117.43308900","WR","Indonesia"
"WIKN","TNJ","Tanjung/pinang Kijang","00.91658100:104.52661700","WI","Indonesia"
"NVVW","TAH","Tanna","-19.44995600:169.22169400","NV","Vanuatu"
"VVTS","SGN","Tansonnhat Intl","10.81146900:106.63723300","VV","Vietnam"
"ZYTX","SHE","Taoxian","41.63036700:123.46903100","ZY","People\'s Republic of China"
"MMTP","TAP","Tapachula Intl","14.78921700:-092.37769400","MM","Mexico"
"WITA","TPK","Tapak Tuan/teuku Cut Ali (dgac)","03.17316249:097.28481497","WI","Indonesia"
"WRLR","TRK","Taraken Juwata","03.32228300:117.55851900","WR","Indonesia"
"RORT","TRA","Tarama","24.66055600:124.67444400","RO","Japan"
"SETR","TPC","Tarapoa","-00.11900800:-076.34382500","SE","Ecuador"
"SBTK","TRQ","Tarauaca","-08.15114200:-070.78698900","SB","Brazil"
"UADD","DMB","Taraz","42.86309200:071.29157800","UA","Kazakhstan, Kyrgyzstan"
"LFBT","LDE","Tarbes Ossun Lourdes","43.16598600:-000.01275000","LF","France"
"YTRE","TRO","Taree","-31.89284715:152.50992271","YT","Australia"
"YTAM","XTO","Taroom","-25.80474892:149.89868625","YT","Australia"
"EETU","TAY","Tartu","58.30729200:026.67866900","EE","Estonia"
"PATL","TLJ","Tatalina Lrrs","62.89972200:-155.97693900","PA","Alaska"
"LZTT","TAT","Tatry","49.07442800:020.22347200","LZ","Slovakia"
"NZAP","TUO","Taupo","-38.73433300:176.08686900","NZ","New Zealand, Antarctica"
"NZTG","TRG","Tauranga","-37.67375000:176.18805600","NZ","New Zealand, Antarctica"
"LRBM","BAY","Tautii Magheraus","47.65966400:023.45826700","LR","Romania"
"WBKW","TWU","Tawau","04.30696400:118.11166700","WB","Malaysia, Brunei"
"UGTB","TBS","Tbilisi","41.67781700:044.94011400","UG","Georgia"
"SLVM","VLM","Tcnl Rafael Pabon","-21.24791400:-063.40619700","SL","Bolivia"
"PANC","ANC","Ted Stevens Anchorage Intl","61.19999200:-150.01467799","PA","Alaska"
"SBTF","TFF","Tefe","-03.37560000:-064.73072200","SB","Brazil"
"MHTG","TGU","Tegucigalpa Toncontin Intl","14.05292200:-087.22000300","MH","Honduras"
"OIII","THR","Teheran Mehrabad Intl","35.69868100:051.32405000","OI","Iran"
"VGTJ","DA","Tejgaon","23.79113100:090.37895300","VG","Bangladesh"
"LLBG","TLV","Tel Aviv Ben Gurion","32.01303300:034.86038300","LL","Israel"
"SBTL","TEC","Telemaco Borba","-24.32589400:-050.65191700","SB","Brazil"
"PATE","TLA","Teller","65.24030800:-166.34911900","PA","Alaska"
"WAST","TXM","Teminabuan (dgac)","-01.44354552:132.01889644","WA","Indonesia"
"WRLS","SRI","Temindung","-00.48805800:117.15478900","WR","Indonesia"
"YTEM","TEM","Temora","-34.42583390:147.49527845","YT","Australia"
"SCTC","ZCO","Temuco Maquehue","-38.76978900:-072.64610600","SC","Chile"
"SBUL","UDI","Ten Cel Av Cesar Bombonato","-18.89096400:-048.22915800","SB","Brazil"
"GCXO","TFN","Tenerife Norte - Los Rodeos","28.48803600:-016.35776400","GC","Canary Islands"
"GCTS","TFS","Tenerife Sur","28.03920303:-016.58763669","GC","Canary Islands"
"WSAT","TGA","Tengah","01.39963600:103.70979400","WS","Singapore"
"SPZO","CUZ","Teniente Alejandro Velasco Astete Intl","-13.53413600:-071.95438900","SP","Peru"
"SANT","TUC","Teniente Benjamin Matienzo","-26.85365800:-065.10708941","SA","Argentina"
"SGCO","CIO","Teniente Col Carmelo Peralta","-23.44978100:-057.42961700","SG","Paraguay"
"SETU","TUA","Teniente Coronel Luis A Mantilla","00.80308300:-077.71713300","SE","Ecuador"
"SPEO","CHM","Teniente Jaime A De Montreuil Morales","-09.15768900:-078.52489700","SP","Peru"
"SCNT","PNT","Teniente Julio Gallardo","-51.66755800:-072.53943100","SC","Chile"
"SCRM","TNM","Teniente Rodolfo Marsh Martin","-62.18777800:-058.99720800","SC","Chile"
"SCCY","GXQ","Teniente Vidal","-45.59904400:-072.11316900","SC","Chile"
"YTNK","TCA","Tennant Creek","-19.64102297:134.16774237","YT","Australia"
"MMEP","TPQ","Tepic","21.41019200:-104.84747800","MM","Mexico"
"UTST","TMJ","Termez","37.28333300:067.29333300","UT","Tajikistan, Turkmenistan, Uzbekistan"
"WAMT","TTE","Ternate Babullah","00.83772200:127.37641100","WA","Indonesia"
"UKLT","TNL","Ternopil Intl","49.52642800:025.68687800","UK","Ukraine"
"CYXT","YXT","Terrace","54.47870900:-128.59042000","CY","Canada"
"CYZW","YZW","Teslin","60.17468600:-132.75596100","CY","Canada"
"FQTT","TET","Tete Chingodzi","-16.11613900:033.63986400","FQ","Mozambique"
"NTTE","TTI","Tetiaroa","-17.01105614:-149.61340018","NT","French Polynesia"
"LLBS","BEV","Teyman","31.29037800:034.71922500","LL","Israel"
"VETZ","TEZ","Tezpur","26.70029400:092.77507200","VE","India"
"NZTH","TMZ","Thames","-37.16310960:175.54614149","NZ","New Zealand, Antarctica"
"VYTD","SNW","Thandwe","18.45367500:094.29741100","VY","Myanmar"
"YTNG","THG","Thangool","-24.49266700:150.57186700","YT","Australia"
"YTGM","XTG","Thargomindah","-27.98141100:143.80751900","YT","Australia"
"CYQD","YQD","The Pas","53.97693600:-101.10107200","CY","Canada"
"LGTS","SKG","Thessalonik Makedonia","40.53027800:022.96761100","LG","Greece"
"BITE","TEY","Thingeyri","65.87083604:-023.56028862","BI","Iceland"
"LFGV","XTH","Thionville Yutz","49.35503031:006.21087768","LF","France"
"VOTV","TRV","Thiruvananthapuram Intl","08.49314700:076.90936400","VO","India"
"EKTS","TED","Thisted","57.07005800:008.69224200","EK","Denmark"
"KALX","ALX","Thomas C Russell Fld","32.92219200:-085.96333600","KA","United States of America"
"CYTH","YTH","Thompson","55.79641100:-097.87474400","CY","Canada"
"BITH","THO","Thorshofn","66.25017564:-015.27914958","BI","Iceland"
